example_id                                                         | status  | run_time        |
./spec/models/reading_spec.rb[1:1:1]                               | passed  | 0.00066 seconds |
./spec/models/reading_spec.rb[1:2:1]                               | passed  | 0.00069 seconds |
./spec/models/reading_spec.rb[1:2:2]                               | passed  | 0.00063 seconds |
./spec/models/reading_spec.rb[1:2:3]                               | passed  | 0.00065 seconds |
./spec/models/reading_spec.rb[1:2:4]                               | passed  | 0.00102 seconds |
./spec/models/reading_spec.rb[1:2:5]                               | passed  | 0.0007 seconds  |
./spec/models/reading_spec.rb[1:2:6]                               | passed  | 0.00077 seconds |
./spec/models/reading_spec.rb[1:3:1]                               | passed  | 0.00069 seconds |
./spec/models/reading_spec.rb[1:4]                                 | passed  | 0.07245 seconds |
./spec/models/weather_datum_spec.rb[1:1:1]                         | passed  | 0.02072 seconds |
./spec/models/weather_datum_spec.rb[1:2:1]                         | passed  | 0.00229 seconds |
./spec/models/weather_datum_spec.rb[1:2:2]                         | passed  | 0.00335 seconds |
./spec/models/weather_datum_spec.rb[1:2:3]                         | passed  | 0.00235 seconds |
./spec/models/weather_datum_spec.rb[1:3:1]                         | passed  | 0.01833 seconds |
./spec/models/weather_datum_spec.rb[1:3:2]                         | passed  | 0.0022 seconds  |
./spec/models/weather_datum_spec.rb[1:4:1]                         | passed  | 0.00269 seconds |
./spec/models/weather_datum_spec.rb[1:4:2]                         | passed  | 0.00258 seconds |
./spec/models/weather_datum_spec.rb[1:5:1]                         | passed  | 0.03075 seconds |
./spec/models/weather_datum_spec.rb[1:5:2]                         | passed  | 0.03044 seconds |
./spec/models/weather_datum_spec.rb[1:5:3]                         | passed  | 0.01887 seconds |
./spec/models/weather_day_spec.rb[1:1:1]                           | passed  | 0.07556 seconds |
./spec/models/weather_day_spec.rb[1:2:1]                           | pending | 0.00001 seconds |
./spec/models/weather_day_spec.rb[1:3:1]                           | pending | 0 seconds       |
./spec/models/weather_day_spec.rb[1:3:2]                           | pending | 0.00001 seconds |
./spec/models/weather_day_spec.rb[1:4:1]                           | passed  | 0.69924 seconds |
./spec/models/weather_day_spec.rb[1:4:2]                           | passed  | 0.75688 seconds |
./spec/models/weather_hour_spec.rb[1:1]                            | pending | 0.00001 seconds |
./spec/models/weather_hour_spec.rb[1:2:1]                          | passed  | 0.07986 seconds |
./spec/models/weather_hour_spec.rb[1:3:1]                          | passed  | 0.08075 seconds |
./spec/models/weather_hour_spec.rb[1:3:2]                          | passed  | 0.08484 seconds |
./spec/models/weather_hour_spec.rb[1:4:1]                          | passed  | 0.08578 seconds |
./spec/models/weather_hour_spec.rb[1:4:2]                          | passed  | 0.08267 seconds |
./spec/models/weather_hour_spec.rb[1:5:1]                          | passed  | 0.08427 seconds |
./spec/models/weather_hour_spec.rb[1:5:2]                          | passed  | 0.08168 seconds |
./spec/models/weather_hour_spec.rb[1:6:1]                          | passed  | 0.08686 seconds |
./spec/models/weather_hour_spec.rb[1:6:2]                          | passed  | 0.08498 seconds |
./spec/models/weather_hour_spec.rb[1:7:1]                          | passed  | 0.08619 seconds |
./spec/models/weather_hour_spec.rb[1:7:2]                          | passed  | 0.09058 seconds |
./spec/models/weather_hour_spec.rb[1:8:1]                          | passed  | 0.0813 seconds  |
./spec/models/weather_hour_spec.rb[1:8:2]                          | passed  | 0.08368 seconds |
./spec/models/weather_importer_spec.rb[1:1:1]                      | passed  | 0.0008 seconds  |
./spec/models/weather_importer_spec.rb[1:2:1]                      | passed  | 0.00071 seconds |
./spec/models/weather_importer_spec.rb[1:2:2]                      | passed  | 0.00089 seconds |
./spec/models/weather_importer_spec.rb[1:3:1:1]                    | passed  | 0.0014 seconds  |
./spec/models/weather_importer_spec.rb[1:3:2:1]                    | passed  | 0.00107 seconds |
./spec/models/weather_importer_spec.rb[1:3:2:2]                    | passed  | 0.00443 seconds |
./spec/models/weather_importer_spec.rb[1:3:3:1]                    | passed  | 6.71 seconds    |
./spec/models/weather_importer_spec.rb[1:3:3:2]                    | passed  | 6.63 seconds    |
./spec/models/weather_importer_spec.rb[1:3:3:3]                    | passed  | 16.54 seconds   |
./spec/models/weather_importer_spec.rb[1:3:3:4]                    | passed  | 36.88 seconds   |
./spec/models/weather_importer_spec.rb[1:4:1]                      | passed  | 0.27293 seconds |
./spec/models/weather_importer_spec.rb[1:5:1]                      | passed  | 7.23 seconds    |
./spec/models/weather_importer_spec.rb[1:6:1]                      | passed  | 0.00407 seconds |
./spec/models/weather_importer_spec.rb[1:7:1]                      | passed  | 0.00143 seconds |
./spec/models/weather_importer_spec.rb[1:7:2]                      | passed  | 0.00193 seconds |
./spec/models/weather_importer_spec.rb[1:7:3]                      | passed  | 0.00113 seconds |
./spec/models/weather_importer_spec.rb[1:7:4]                      | passed  | 0.00085 seconds |
./spec/models/weather_importer_spec.rb[1:7:5]                      | passed  | 0.00074 seconds |
./spec/models/weather_importer_spec.rb[1:7:6]                      | passed  | 0.00092 seconds |
./spec/models/weather_importer_spec.rb[1:8:1]                      | passed  | 0.00062 seconds |
./spec/models/weather_importer_spec.rb[1:8:2]                      | passed  | 0.00064 seconds |
./spec/models/weather_importer_spec.rb[1:9:1]                      | passed  | 0.00069 seconds |
./spec/models/weather_importer_spec.rb[1:9:2]                      | passed  | 0.00068 seconds |
./spec/models/weather_importer_spec.rb[1:9:3]                      | passed  | 0.00073 seconds |
./spec/models/weather_observation_spec.rb[1:1:1]                   | passed  | 0.00074 seconds |
./spec/models/weather_observation_spec.rb[1:1:2]                   | passed  | 0.00141 seconds |
./spec/models/weather_observation_spec.rb[1:1:3]                   | passed  | 0.00089 seconds |
./spec/models/weather_observation_spec.rb[1:1:4]                   | passed  | 0.00141 seconds |
./spec/models/weather_observation_spec.rb[1:1:5]                   | passed  | 0.00086 seconds |
./spec/models/weather_observation_spec.rb[1:2:1]                   | passed  | 0.00072 seconds |
./spec/models/weather_observation_spec.rb[1:3:1]                   | passed  | 0.00192 seconds |
./spec/models/wi_mn_spec.rb[1:1:1]                                 | passed  | 0.00064 seconds |
./spec/models/wi_mn_spec.rb[1:1:2]                                 | passed  | 0.00075 seconds |
./spec/models/wi_mn_spec.rb[1:1:3]                                 | passed  | 0.00061 seconds |
./spec/models/wisconsin_spec.rb[1:1:1]                             | passed  | 0.00078 seconds |
./spec/models/wisconsin_spec.rb[1:1:2]                             | passed  | 0.00063 seconds |
./spec/models/wisconsin_spec.rb[1:1:3]                             | passed  | 0.00095 seconds |
